Training Start:Mon, 03 Jul 2023 12:02:08 +0000

Generative Model Training Start:Mon, 03 Jul 2023 12:02:09 +0000
Iter-[200/80740]; loss: 12.877; kl:36.979; p_loss:0.033; rec:0.012; tc:0.000; gamma:0.000;
Iter-[400/80740]; loss: 11.110; kl:21.632; p_loss:0.031; rec:0.010; tc:-0.000; gamma:0.001;
Iter-[600/80740]; loss: 10.650; kl:21.327; p_loss:0.030; rec:0.010; tc:0.832; gamma:0.001;
Iter-[800/80740]; loss: 11.432; kl:15.916; p_loss:0.032; rec:0.010; tc:0.000; gamma:0.002;
Iter-[1000/80740]; loss: 10.079; kl:14.915; p_loss:0.032; rec:0.009; tc:-0.000; gamma:0.002;
Iter-[1200/80740]; loss: 9.399; kl:13.279; p_loss:0.029; rec:0.008; tc:0.832; gamma:0.003;
Iter-[1400/80740]; loss: 10.899; kl:12.269; p_loss:0.030; rec:0.010; tc:-0.000; gamma:0.003;
Iter-[1600/80740]; loss: 10.666; kl:9.200; p_loss:0.030; rec:0.009; tc:-0.000; gamma:0.004;
Iter-[1800/80740]; loss: 10.667; kl:9.249; p_loss:0.029; rec:0.010; tc:0.832; gamma:0.004;
Iter-[2000/80740]; loss: 11.479; kl:8.881; p_loss:0.033; rec:0.010; tc:-0.000; gamma:0.005;
Iter-[2200/80740]; loss: 9.735; kl:8.476; p_loss:0.034; rec:0.009; tc:-0.000; gamma:0.005;
Iter-[2400/80740]; loss: 10.607; kl:7.104; p_loss:0.033; rec:0.009; tc:0.832; gamma:0.006;
Iter-[2600/80740]; loss: 9.547; kl:6.149; p_loss:0.033; rec:0.008; tc:-0.000; gamma:0.007;
Iter-[2800/80740]; loss: 9.540; kl:5.796; p_loss:0.032; rec:0.008; tc:0.000; gamma:0.007;
Iter-[3000/80740]; loss: 9.871; kl:6.270; p_loss:0.031; rec:0.009; tc:0.832; gamma:0.008;
Iter-[3200/80740]; loss: 10.829; kl:6.129; p_loss:0.030; rec:0.009; tc:-0.000; gamma:0.008;
Iter-[3400/80740]; loss: 9.295; kl:4.614; p_loss:0.033; rec:0.008; tc:0.000; gamma:0.009;
Iter-[3600/80740]; loss: 10.725; kl:5.114; p_loss:0.034; rec:0.009; tc:0.832; gamma:0.009;
Iter-[3800/80740]; loss: 9.162; kl:4.290; p_loss:0.033; rec:0.008; tc:-0.000; gamma:0.010;
Iter-[4000/80740]; loss: 10.001; kl:4.116; p_loss:0.029; rec:0.009; tc:0.000; gamma:0.010;
Iter-[4200/80740]; loss: 8.878; kl:3.607; p_loss:0.032; rec:0.008; tc:0.832; gamma:0.011;
Iter-[4400/80740]; loss: 10.070; kl:3.779; p_loss:0.028; rec:0.009; tc:0.000; gamma:0.011;
Iter-[4600/80740]; loss: 8.903; kl:3.215; p_loss:0.028; rec:0.008; tc:-0.000; gamma:0.012;
Iter-[4800/80740]; loss: 8.685; kl:3.033; p_loss:0.028; rec:0.007; tc:0.832; gamma:0.013;
Iter-[5000/80740]; loss: 9.987; kl:3.132; p_loss:0.026; rec:0.009; tc:-0.000; gamma:0.013;
